date,date,count_yt,count_ain,count_cons,count_msm,count_cchan,count_tweets
2019-04-04 09:00:00,2019-04-04 09:00:00,737,2.0,1.0,0.0,0.0,130308
2019-05-10 04:00:00,2019-05-10 04:00:00,746,0.0,0.0,0.0,1.0,123075
2019-03-25 23:00:00,2019-03-25 23:00:00,709,4.0,1.0,0.0,4.0,142952
2018-11-27 09:00:00,2018-11-27 09:00:00,1012,1.0,1.0,2.0,2.0,118177
2018-12-09 08:00:00,2018-12-09 08:00:00,889,0.0,1.0,1.0,1.0,113662
2019-05-03 18:00:00,2019-05-03 18:00:00,673,0.0,0.0,4.0,1.0,132197
2018-10-16 17:00:00,2018-10-16 17:00:00,1282,2.0,1.0,2.0,4.0,141854
2018-10-13 08:00:00,2018-10-13 08:00:00,913,0.0,1.0,0.0,2.0,112166
2018-10-23 20:00:00,2018-10-23 20:00:00,1265,2.0,0.0,4.0,0.0,124574
2018-12-08 13:00:00,2018-12-08 13:00:00,1392,0.0,4.0,1.0,1.0,177296
2019-04-07 04:00:00,2019-04-07 04:00:00,667,1.0,0.0,0.0,1.0,132972
2019-04-05 08:00:00,2019-04-05 08:00:00,802,1.0,0.0,2.0,2.0,118119
2019-03-08 21:00:00,2019-03-08 21:00:00,666,3.0,1.0,3.0,4.0,128639
2019-03-02 13:00:00,2019-03-02 13:00:00,1050,2.0,0.0,1.0,2.0,210371
2018-11-26 09:00:00,2018-11-26 09:00:00,1456,0.0,2.0,1.0,4.0,118931
2019-05-11 20:00:00,2019-05-11 20:00:00,600,0.0,0.0,2.0,2.0,120678
2019-01-04 17:00:00,2019-01-04 17:00:00,1250,2.0,3.0,4.0,4.0,153363
2019-05-27 08:00:00,2019-05-27 08:00:00,656,0.0,2.0,1.0,2.0,115145
2018-10-26 09:00:00,2018-10-26 09:00:00,1155,1.0,1.0,2.0,0.0,121212
2019-05-04 23:00:00,2019-05-04 23:00:00,596,4.0,1.0,2.0,0.0,128686
2019-05-13 09:00:00,2019-05-13 09:00:00,980,0.0,1.0,0.0,3.0,124358
2019-01-28 01:00:00,2019-01-28 01:00:00,1123,3.0,6.0,3.0,5.0,132843
2018-10-30 02:00:00,2018-10-30 02:00:00,1050,5.0,2.0,5.0,1.0,132778
2018-11-29 08:00:00,2018-11-29 08:00:00,859,1.0,1.0,2.0,0.0,109056
2018-12-21 20:00:00,2018-12-21 20:00:00,1180,0.0,3.0,5.0,5.0,115062
2019-04-07 23:00:00,2019-04-07 23:00:00,766,1.0,3.0,3.0,4.0,137583
2019-01-01 23:00:00,2019-01-01 23:00:00,1091,0.0,2.0,5.0,0.0,124474
2018-12-30 15:00:00,2018-12-30 15:00:00,1533,2.0,6.0,1.0,5.0,202127
2019-05-09 07:00:00,2019-05-09 07:00:00,894,0.0,0.0,0.0,1.0,112375
2019-03-22 07:00:00,2019-03-22 07:00:00,688,1.0,2.0,0.0,1.0,111915
2018-12-17 01:00:00,2018-12-17 01:00:00,1127,4.0,6.0,3.0,5.0,129761
2019-02-20 23:00:00,2019-02-20 23:00:00,746,1.0,2.0,2.0,3.0,137657
2019-03-24 06:00:00,2019-03-24 06:00:00,697,0.0,1.0,1.0,2.0,118541
2019-01-19 08:00:00,2019-01-19 08:00:00,941,1.0,1.0,1.0,3.0,116784
2019-01-22 00:00:00,2019-01-22 00:00:00,1065,2.0,4.0,3.0,1.0,128837
2019-01-29 16:00:00,2019-01-29 16:00:00,1396,5.0,0.0,3.0,1.0,168835
2018-12-06 17:00:00,2018-12-06 17:00:00,1358,1.0,5.0,3.0,7.0,135152
2018-10-30 09:00:00,2018-10-30 09:00:00,1079,2.0,3.0,2.0,2.0,118764
2019-05-27 14:00:00,2019-05-27 14:00:00,1017,0.0,1.0,2.0,4.0,188568
2019-05-05 12:00:00,2019-05-05 12:00:00,1276,0.0,0.0,5.0,1.0,172345
2019-02-07 06:00:00,2019-02-07 06:00:00,555,2.0,0.0,0.0,1.0,109178
2018-11-26 03:00:00,2018-11-26 03:00:00,1086,1.0,6.0,2.0,4.0,128524
2019-05-14 16:00:00,2019-05-14 16:00:00,908,2.0,0.0,3.0,3.0,168736
2019-04-10 13:00:00,2019-04-10 13:00:00,1255,0.0,4.0,8.0,3.0,204899
2018-10-13 01:00:00,2018-10-13 01:00:00,1124,1.0,6.0,1.0,2.0,124428
2019-03-13 04:00:00,2019-03-13 04:00:00,511,1.0,2.0,2.0,2.0,132843
2019-02-24 19:00:00,2019-02-24 19:00:00,644,1.0,1.0,0.0,0.0,141245
2018-12-14 04:00:00,2018-12-14 04:00:00,1123,0.0,4.0,1.0,6.0,124761
2018-11-17 09:00:00,2018-11-17 09:00:00,1035,1.0,1.0,3.0,0.0,115142
2019-01-10 12:00:00,2019-01-10 12:00:00,1478,0.0,3.0,1.0,2.0,163691
2019-05-30 04:00:00,2019-05-30 04:00:00,572,0.0,0.0,2.0,2.0,125615
2019-04-22 14:00:00,2019-04-22 14:00:00,1201,2.0,0.0,4.0,2.0,202311
2018-10-22 09:00:00,2018-10-22 09:00:00,1304,0.0,2.0,3.0,2.0,121915
2019-05-31 00:00:00,2019-05-31 00:00:00,706,0.0,1.0,3.0,1.0,143989
2018-10-12 11:00:00,2018-10-12 11:00:00,1331,0.0,3.0,4.0,1.0,149483
2019-03-25 08:00:00,2019-03-25 08:00:00,574,0.0,0.0,3.0,1.0,119896
2019-03-13 11:00:00,2019-03-13 11:00:00,1109,0.0,1.0,3.0,1.0,162107
2018-12-24 08:00:00,2018-12-24 08:00:00,1280,0.0,4.0,2.0,4.0,115342
2019-02-10 15:00:00,2019-02-10 15:00:00,1419,2.0,2.0,6.0,2.0,198460
2019-05-04 13:00:00,2019-05-04 13:00:00,996,2.0,0.0,4.0,5.0,191101
2019-02-12 02:00:00,2019-02-12 02:00:00,693,1.0,0.0,6.0,7.0,133499
2018-10-03 05:00:00,2018-10-03 05:00:00,848,3.0,3.0,5.0,3.0,109559
2018-11-22 04:00:00,2018-11-22 04:00:00,853,3.0,5.0,1.0,1.0,108150
2019-02-26 00:00:00,2019-02-26 00:00:00,737,2.0,3.0,2.0,3.0,130073
2018-10-30 19:00:00,2018-10-30 19:00:00,1154,4.0,2.0,0.0,4.0,119302
2019-01-31 11:00:00,2019-01-31 11:00:00,1368,1.0,5.0,4.0,3.0,151811
2019-01-01 04:00:00,2019-01-01 04:00:00,1088,2.0,0.0,0.0,1.0,151426
2019-03-05 09:00:00,2019-03-05 09:00:00,786,0.0,1.0,1.0,1.0,124996
2019-02-18 22:00:00,2019-02-18 22:00:00,733,2.0,0.0,4.0,2.0,139392
2018-11-13 01:00:00,2018-11-13 01:00:00,1144,4.0,6.0,0.0,4.0,131866
2019-02-23 00:00:00,2019-02-23 00:00:00,695,1.0,5.0,5.0,4.0,130900
2018-12-19 21:00:00,2018-12-19 21:00:00,1214,1.0,0.0,3.0,2.0,123427
2019-04-22 22:00:00,2019-04-22 22:00:00,748,5.0,1.0,1.0,5.0,156763
